,Country,Code,Year,"Female (deaths per 100,000)","Male (deaths per 100,000)","Both sexes (deaths per 100,000)",Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
169,Philippines,PHL,2013,2.98,8.63,5.786950420537301,59,21.08,25.98,45.06,73.7,47.79,16.38,46.75,74.84,-
170,Philippines,PHL,2014,2.97,8.81,5.873445493044377,59,28.09,29.97,58.1,69.84,40.28,18.78,49.78,74.88,-
171,Philippines,PHL,2015,3.03,9.15,6.079462706301737,68,36.95,35.41,56.89,71.66,40.0,18.52,45.5,74.17,-
172,Philippines,PHL,2016,2.99,9.14,6.0516707502234,54,65.83,42.86,62.39,72.25,34.73,19.24,45.97,73.12,-26.98
173,Poland,POL,2013,3.76,27.52,15.299817136522766,34,90.47,55.56,61.07,57.81,53.31,13.0,36.24,50.02,-
174,Poland,POL,2014,3.63,26.08,14.547071471933274,33,95.19,57.6,62.47,54.83,53.68,11.37,35.32,50.54,-
175,Poland,POL,2015,3.52,26.11,14.514068217902036,36,109.74,63.49,67.01,58.03,45.11,10.56,34.67,50.55,-
176,Poland,POL,2016,3.43,25.58,14.216528336508153,29,153.61,80.77,68.59,60.01,38.53,10.95,34.51,49.87,64.33
177,Portugal,PRT,2013,3.51,14.69,8.666408372337699,28,119.76,54.59,65.04,61.63,71.77,8.06,27.88,35.0,-
178,Portugal,PRT,2014,3.47,14.44,8.527018943014777,23,124.71,54.65,64.94,64.8,69.3,8.41,28.91,30.9,-
179,Portugal,PRT,2015,3.05,13.34,7.778090208764362,26,129.16,58.22,64.16,65.62,58.22,8.32,28.2,32.61,-
180,Portugal,PRT,2016,3.03,13.08,7.642019230348736,13,181.18,75.47,64.87,69.03,49.83,8.43,30.56,31.85,91.7
181,Puerto Rico,PRI,2013,1.65,11.17,6.124004039767738,29,117.89,95.73,29.47,58.98,81.49,3.93,32.5,54.02,-
182,Puerto Rico,PRI,2014,1.57,10.44,5.737501873594708,24,123.64,85.28,40.7,59.93,76.5,5.1,28.4,47.41,-
183,Puerto Rico,PRI,2015,1.41,10.37,5.620765509455998,28,125.69,94.43,32.94,58.74,73.5,4.54,32.0,48.03,-
184,Qatar,QAT,2013,1.2,6.18,4.940790125432733,9,169.92,140.57,73.83,68.06,80.92,5.43,30.5,82.76,-
185,Qatar,QAT,2015,1.15,5.78,4.6294419124765405,20,144.89,113.02,78.96,75.86,74.0,6.56,29.27,87.73,-
186,Romania,ROU,2013,2.81,16.86,9.65466186703382,49,57.75,36.35,69.98,46.13,49.46,14.25,34.85,63.34,-
187,Romania,ROU,2014,2.7,16.73,9.539639445532288,50,63.27,36.51,71.27,47.27,48.2,13.24,33.29,62.55,-
188,Romania,ROU,2015,2.62,16.28,9.279052392360525,48,83.63,40.62,70.28,46.57,42.39,11.81,30.69,50.55,-
189,Romania,ROU,2016,2.57,15.96,9.095293361169253,32,146.13,61.9,70.28,51.43,34.8,10.56,33.29,50.5,66.96
190,Russia,RUS,2013,8.69,49.8,27.756963532291714,60,18.5,39.6,47.61,39.34,68.12,12.36,49.68,78.29,-
191,Russia,RUS,2014,8.76,50.24,28.019970055265805,64,16.53,37.3,47.33,43.45,61.8,14.67,49.69,76.45,-
192,Russia,RUS,2015,8.5,47.58,26.62448443135005,72,28.38,38.86,48.67,51.8,61.91,14.6,47.08,72.77,-
193,Russia,RUS,2016,8.06,45.4,25.391507602799944,51,88.31,57.42,52.69,54.15,38.48,12.84,49.13,64.49,10.87
194,Saudi Arabia,SAU,2013,0.88,4.47,2.9789053799798935,22,140.49,116.1,68.26,34.17,71.28,3.11,15.75,80.55,-
195,Saudi Arabia,SAU,2014,0.88,4.48,2.992330707905884,19,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,-
196,Saudi Arabia,SAU,2015,0.88,4.47,2.9873432331618086,12,169.37,126.19,65.43,59.02,50.35,3.12,26.14,71.02,-
197,Saudi Arabia,SAU,2016,0.88,4.44,2.974638054622355,27,159.18,167.86,74.8,65.09,47.6,2.78,38.7,72.2,16.77
